crime_ucr,crime_iucr,crime_primary_type,crime_description,notes,n,crime_group_large_inferred,crime_group_inferred,crime_index,weapon_inferred,shooting_ind_inferred,victim_type_inferred,weapon_firearm_ind_inferred,drug_type_inferred,drug_crime_class_inferred
14,1375,CRIMINAL DAMAGE,INSTITUTIONAL VANDALISM,,823,Part II Property,Vandalism,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
15,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,,3910,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Discharge,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,141B,WEAPONS VIOLATION,UNLAWFUL USE OTHER FIREARM,,663,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Discharge,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,,2888,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Discharge,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,2900,WEAPONS VIOLATION,UNLAWFUL USE/SALE AIR RIFLE,,2445,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Discharge Unspecified,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,142A,WEAPONS VIOLATION,UNLAWFUL SALE HANDGUN,,224,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,142B,WEAPONS VIOLATION,UNLAWFUL SALE OTHER FIREARM,,88,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,1435,WEAPONS VIOLATION,UNLAWFUL SALE/DELIVERY OF FIREARM AT SCHOOL,,153,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,,50310,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,,2807,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,,1562,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,1440,WEAPONS VIOLATION,REGISTER OF SALES BY DEALER,,5,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,1450,WEAPONS VIOLATION,DEFACE IDENT MARKS OF FIREARM,,38,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,1460,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,,2071,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,1476,WEAPONS VIOLATION,USE OF METAL PIERCING BULLETS,,4,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,,170,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,1479,CONCEALED CARRY LICENSE VIOLATION,ARMED WHILE UNDER THE INFLUENCE,,136,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,1480,CONCEALED CARRY LICENSE VIOLATION,OTHER,,138,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
15,1481,NON-CRIMINAL,CONCEALED CARRY LICENSE REVOCATION,,6,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal
15,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,,8552,Weapon Violation,Weapon Violation,N,Other Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
16,1505,PROSTITUTION,CALL OPERATION,,2367,Quality of Life,Prostitution,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
16,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,,47762,Quality of Life,Prostitution,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
16,1507,PROSTITUTION,SOLICIT OFF PUBLIC WAY,,247,Quality of Life,Prostitution,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
16,1510,PROSTITUTION,CAB OPERATION,,22,Quality of Life,Prostitution,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
16,1511,PROSTITUTION,IN TAVERN,,41,Quality of Life,Prostitution,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
16,1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,,2173,Quality of Life,Prostitution,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
16,1513,PROSTITUTION,SOLICIT FOR BUSINESS,,14742,Quality of Life,Prostitution,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
16,1515,PROSTITUTION,PANDERING,,81,Quality of Life,Prostitution,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
16,1520,PROSTITUTION,KEEP PLACE OF PROSTITUTION,,113,Quality of Life,Prostitution,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
16,1521,PROSTITUTION,KEEP PLACE OF JUV PROSTITUTION,,1,Quality of Life,Prostitution,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
16,1525,PROSTITUTION,PATRONIZING A PROSTITUTE,,812,Quality of Life,Prostitution,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
16,1526,PROSTITUTION,PATRONIZE JUVENILE PROSTITUTE,,10,Quality of Life,Prostitution,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
16,1530,PROSTITUTION,PIMPING,,97,Quality of Life,Prostitution,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
16,1531,PROSTITUTION,JUVENILE PIMPING,,20,Quality of Life,Prostitution,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,1035,ARSON,POS: CHEMICAL/DRY-ICE DEVICE,,39,Weapon Violation,Weapon Violation,N,Other Weapon,Non-Violent,Non-Violent,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
16,1549,PROSTITUTION,OTHER PROSTITUTION OFFENSE,,415,Quality of Life,Prostitution,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
11,1261,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,,356,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
17,1535,OBSCENITY,OBSCENITY,,100,Quality of Life,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
17,1536,PUBLIC INDECENCY,LICENSED PREMISE,,169,Quality of Life,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
17,1261,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,,26,Quality of Life,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
08A,580,STALKING,SIMPLE,"Per clear map: Definition: An unlawful physical attack by one person upon another where neither the offender displays a weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",2986,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
08A,581,STALKING,AGGRAVATED,"Per clear map: Definition: An unlawful physical attack by one person upon another where neither the offender displays a weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",137,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
08A,583,STALKING,CYBERSTALKING,"Per clear map: Definition: An unlawful physical attack by one person upon another where neither the offender displays a weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",259,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
08A,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"Per clear map: Definition: An unlawful physical attack by one person upon another where neither the offender displays a weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",14843,Part II Violent,Assault,N,Physical Force,No Shooting,Protected Employee,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
17,2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,,4135,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
08A,554,ASSAULT,AGG PO HANDS NO/MIN INJURY,"Per clear map: Definition: An unlawful physical attack by one person upon another where neither the offender displays a weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",6481,Part II Violent,Assault,N,Physical Force,No Shooting,Police Officer,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
08A,560,ASSAULT,SIMPLE,"Per clear map: Definition: An unlawful physical attack by one person upon another where neither the offender displays a weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",301684,Part II Violent,Assault,N,Physical Force,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
08B,440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,"Simple Battery is causes bodily harm to an individual or (2) makes physical contact of an insulting or provoking nature with an individual, per clearmap guide",5085,Part II Violent,Assault,N,Physical Force,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
08B,454,BATTERY,AGG PO HANDS NO/MIN INJURY,"Simple Battery is causes bodily harm to an individual or (2) makes physical contact of an insulting or provoking nature with an individual, per clearmap guide",13676,Part II Violent,Assault,N,Physical Force,No Shooting,Police Officer,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
08B,460,BATTERY,SIMPLE,"Simple Battery is causes bodily harm to an individual or (2) makes physical contact of an insulting or provoking nature with an individual, per clearmap guide",515984,Part II Violent,Assault,N,Physical Force,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
08B,475,BATTERY,OF UNBORN CHILD,"Simple Battery is causes bodily harm to an individual or (2) makes physical contact of an insulting or provoking nature with an individual, per clearmap guide",90,Part II Violent,Assault,N,Physical Force,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
08B,484,BATTERY,PRO EMP HANDS NO/MIN INJURY,"Simple Battery is causes bodily harm to an individual or (2) makes physical contact of an insulting or provoking nature with an individual, per clearmap guide",15736,Part II Violent,Assault,N,Physical Force,No Shooting,Protected Employee,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
08B,486,BATTERY,DOMESTIC BATTERY SIMPLE,"Simple Battery is causes bodily harm to an individual or (2) makes physical contact of an insulting or provoking nature with an individual, per clearmap guide",536489,Part II Violent,Assault,N,Physical Force,No Shooting,Domestic,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
26,3770,INTERFERENCE WITH PUBLIC OFFICER,CONTRABAND IN PRISON,,6,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,3800,INTERFERENCE WITH PUBLIC OFFICER,INTERFERENCE JUDICIAL PROCESS,,826,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,3910,INTERFERENCE WITH PUBLIC OFFICER,BRIBERY,,160,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,3920,INTERFERENCE WITH PUBLIC OFFICER,OFFICIAL MISCONDUCT,,45,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
08B,9901,DOMESTIC VIOLENCE,DOMESTIC VIOLENCE,"Simple Battery is causes bodily harm to an individual or (2) makes physical contact of an insulting or provoking nature with an individual, per clearmap guide",1,Part II Violent,Assault,N,Physical Force,No Shooting,Domestic,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
17,1540,OBSCENITY,OBSCENE MATTER,,369,Quality of Life,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,3970,INTIMIDATION,EXTORTION,,437,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,3975,INTIMIDATION,COMPELLING ORG MEMBERSHIP,,90,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,3980,INTIMIDATION,COMPELLING CONFESSION,,7,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
18,2010,NARCOTICS,MANU/DELIVER:AMPHETAMINES,,129,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Manufacture, Sell, Deliver"
18,2011,NARCOTICS,MANU/DELIVER:BARBITUATES,,244,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Manufacture, Sell, Deliver"
18,2012,NARCOTICS,MANU/DELIVER:COCAINE,,2657,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Manufacture, Sell, Deliver"
18,2013,NARCOTICS,MANU/DELIVER: HEROIN(BRN/TAN),,727,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Manufacture, Sell, Deliver"
18,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),,25841,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Manufacture, Sell, Deliver"
18,2015,NARCOTICS,MANU/DELIVER: HALLUCINOGEN,,663,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Manufacture, Sell, Deliver"
18,2016,NARCOTICS,MANU/DELIVER:PCP,,447,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Manufacture, Sell, Deliver"
18,1900,OTHER NARCOTIC VIOLATION,INTOXICATING COMPOUNDS,,128,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Para/Synthetic/Fake,"Manufacture, Sell, Deliver"
18,2017,NARCOTICS,MANU/DELIVER:CRACK,,24702,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Manufacture, Sell, Deliver"
18,2019,NARCOTICS,MANU/DELIVER:HEROIN(BLACK TAR),,61,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Manufacture, Sell, Deliver"
18,2032,NARCOTICS,MANU/DELIVER: METHAMPHETAMINES,,101,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Manufacture, Sell, Deliver"
18,2080,NARCOTICS,CONT SUBS:FAIL TO MAINT RECORD,,30,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Unspecified,"Manufacture, Sell, Deliver"
18,1860,NARCOTICS,CALCULATED CANNABIS CONSPIRACY,,6,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Marijuana,"Manufacture, Sell, Deliver"
18,1840,NARCOTICS,DELIVER CANNABIS TO PERSON <18,,47,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Marijuana,"Manufacture, Sell, Deliver"
18,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,,11738,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Marijuana,"Manufacture, Sell, Deliver"
18,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,,11972,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Marijuana,"Manufacture, Sell, Deliver"
18,2030,NARCOTICS,MANU/DELIVER:LOOK-ALIKE DRUG,,83,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Para/Synthetic/Fake,"Manufacture, Sell, Deliver"
18,2018,NARCOTICS,MANU/DELIVER:SYNTHETIC DRUGS,,477,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Para/Synthetic/Fake,"Manufacture, Sell, Deliver"
18,2033,NARCOTICS,MANU/POSS. W/INTENT TO DELIVER: SYNTHETIC MARIJUANA,,29,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Para/Synthetic/Fake,"Manufacture, Sell, Deliver"
18,2050,NARCOTICS,CRIMINAL DRUG CONSPIRACY,,652,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Unspecified,"Manufacture, Sell, Deliver"
18,2070,NARCOTICS,DEL CONT SUBS TO PERSON <18,,65,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Unspecified,"Manufacture, Sell, Deliver"
18,2060,NARCOTICS,FAIL REGISTER LIC:CONT SUBS,,5,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Unspecified,"Manufacture, Sell, Deliver"
26,1540,OBSCENITY,OBSCENE MATTER,,27,Quality of Life,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
18,2020,NARCOTICS,POSS: AMPHETAMINES,,690,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Possession, Purchase"
18,2021,NARCOTICS,POSS: BARBITUATES,,1701,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Possession, Purchase"
18,2022,NARCOTICS,POSS: COCAINE,,25147,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Possession, Purchase"
18,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),,3434,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Possession, Purchase"
18,2024,NARCOTICS,POSS: HEROIN(WHITE),,94166,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Possession, Purchase"
18,2025,NARCOTICS,POSS: HALLUCINOGENS,,3995,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Possession, Purchase"
18,2026,NARCOTICS,POSS: PCP,,3672,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Possession, Purchase"
18,2027,NARCOTICS,POSS: CRACK,,120339,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Possession, Purchase"
18,2029,NARCOTICS,POSS: HEROIN(BLACK TAR),,368,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Possession, Purchase"
18,2031,NARCOTICS,POSS: METHAMPHETAMINES,,694,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Hard Drug,"Possession, Purchase"
18,2090,NARCOTICS,ALTER/FORGE PRESCRIPTION, The obtaining of a narcotic or dangerous drug with a forged prescription or without the knowledge or authorization of a licensed physician,1583,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Unspecified,"Possession, Purchase"
18,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,,21345,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Unspecified,"Possession, Purchase"
18,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,,4619,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Marijuana,"Possession, Purchase"
18,1850,NARCOTICS,CANNABIS PLANT,classified under possession in iucr guide,361,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Marijuana,"Possession, Purchase"
18,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,,277704,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Marijuana,"Possession, Purchase"
18,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,,18581,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Marijuana,"Possession, Purchase"
18,2110,NARCOTICS,POS: HYPODERMIC NEEDLE,,920,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Para/Synthetic/Fake,"Possession, Purchase"
18,2040,NARCOTICS,POSS: LOOK-ALIKE DRUGS,,137,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Para/Synthetic/Fake,"Possession, Purchase"
18,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,,3714,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Para/Synthetic/Fake,"Possession, Purchase"
18,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,,8952,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Para/Synthetic/Fake,"Possession, Purchase"
18,2034,NARCOTICS,POSSESSION: SYNTHETIC MARIJUANA,,173,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Para/Synthetic/Fake,"Possession, Purchase"
17,1541,OBSCENITY,SALE/DIST OBSCENE MAT TO MINOR,,118,Quality of Life,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,1541,OBSCENITY,SALE/DIST OBSCENE MAT TO MINOR,,12,Quality of Life,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1610,GAMBLING,BOOKMAKING/HORSES,,25,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1611,GAMBLING,BOOKMAKING/SPORTS,,91,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1620,GAMBLING,BOLITA OR BOLI PUL/OFFICE,,9,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1621,GAMBLING,BOLITA OR BOLI PUL/RUNNER,,23,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1622,GAMBLING,BOLITA OR BOLI PUL/WRITER,,14,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1624,GAMBLING,LOTTERY/PARI-MUTUEL,,1,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1625,GAMBLING,NATIONAL LOTTERY,,2,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1626,GAMBLING,ILLEGAL ILL LOTTERY,,349,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1627,GAMBLING,LOTTERY/OTHER,,6,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1630,GAMBLING,WIREROOM/HORSES,,21,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1631,GAMBLING,WIREROOM/SPORTS,,64,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1633,GAMBLING,SPORTS TAMPERING,,1,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1640,GAMBLING,REGISTER FED GAMBLING STAMP,,2,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
